,NOC,Year,Sport,isHoster,Bronze,Gold,No medal,Silver
0,AFG,1936,Athletics,0,0,0,3,0
1,AFG,1936,Hockey,0,0,0,1,0
2,AFG,1948,Football,0,0,0,1,0
3,AFG,1948,Hockey,0,0,0,1,0
4,AFG,1956,Hockey,0,0,0,1,0
5,AFG,1960,Athletics,0,0,0,6,0
6,AFG,1960,Wrestling,0,0,0,8,0
7,AFG,1964,Wrestling,0,0,0,7,0
8,AFG,1968,Wrestling,0,0,0,6,0
9,AFG,1972,Wrestling,0,0,0,8,0
10,AFG,1980,Boxing,0,0,0,3,0
11,AFG,1980,Wrestling,0,0,0,10,0
12,AFG,1988,Wrestling,0,0,0,6,0
13,AFG,1996,Athletics,0,0,0,2,0
14,AFG,2004,Athletics,0,0,0,2,0
15,AFG,2004,Boxing,0,0,0,1,0
16,AFG,2004,Judo,0,0,0,1,0
17,AFG,2004,Wrestling,0,0,0,2,0
18,AFG,2008,Athletics,0,0,0,2,0
19,AFG,2008,Taekwondo,0,1,0,1,0
20,AFG,2012,Athletics,0,0,0,2,0
21,AFG,2012,Boxing,0,0,0,1,0
22,AFG,2012,Judo,0,0,0,1,0
23,AFG,2012,Taekwondo,0,1,0,1,0
24,AFG,2016,Athletics,0,0,0,2,0
25,AFG,2016,Judo,0,0,0,1,0
26,AFG,2020,Athletics,0,0,0,2,0
27,AFG,2020,Shooting,0,0,0,1,0
28,AFG,2020,Swimming,0,0,0,1,0
29,AFG,2020,Taekwondo,0,0,0,1,0
30,AFG,2024,Athletics,0,0,0,2,0
31,AFG,2024,Cycling Road,0,0,0,2,0
32,AFG,2024,Judo,0,0,0,1,0
33,AFG,2024,Swimming,0,0,0,1,0
34,AHO,1952,Football,0,0,0,1,0
35,AHO,1960,Weightlifting,0,0,0,4,0
36,AHO,1964,Fencing,0,0,0,2,0
37,AHO,1964,Weightlifting,0,0,0,3,0
38,AHO,1968,Fencing,0,0,0,3,0
39,AHO,1968,Weightlifting,0,0,0,2,0
40,AHO,1972,Shooting,0,0,0,3,0
41,AHO,1972,Weightlifting,0,0,0,1,0
42,AHO,1976,Athletics,0,0,0,2,0
43,AHO,1976,Judo,0,0,0,2,0
44,AHO,1984,Athletics,0,0,0,4,0
45,AHO,1984,Swimming,0,0,0,4,0
46,AHO,1984,Synchronized Swimming,0,0,0,2,0
47,AHO,1988,Sailing,0,0,0,0,1
48,AHO,1988,Shooting,0,0,0,2,0
49,AHO,1988,Swimming,0,0,0,2,0
50,AHO,1992,Athletics,0,0,0,1,0
51,AHO,1992,Sailing,0,0,0,2,0
52,AHO,1992,Shooting,0,0,0,1,0
53,AHO,1996,Athletics,0,0,0,1,0
54,AHO,1996,Judo,0,0,0,1,0
55,AHO,1996,Sailing,0,0,0,2,0
56,AHO,1996,Shooting,0,0,0,2,0
57,AHO,1996,Swimming,0,0,0,1,0
58,AHO,2000,Athletics,0,0,0,2,0
59,AHO,2000,Equestrianism,0,0,0,2,0
60,AHO,2000,Sailing,0,0,0,1,0
61,AHO,2000,Shooting,0,0,0,1,0
62,AHO,2000,Swimming,0,0,0,2,0
63,AHO,2000,Triathlon,0,0,0,1,0
64,AHO,2004,Athletics,0,0,0,2,0
65,AHO,2004,Equestrianism,0,0,0,2,0
66,AHO,2008,Athletics,0,0,0,2,0
67,AHO,2008,Shooting,0,0,0,2,0
68,AHO,2008,Swimming,0,0,0,1,0
69,AIN,2024,Canoe Sprint,0,0,0,4,0
70,AIN,2024,Cycling Road,0,0,0,4,0
71,AIN,2024,Rowing,0,0,0,1,1
72,AIN,2024,Shooting,0,0,0,2,0
73,AIN,2024,Swimming,0,0,0,6,0
74,AIN,2024,Taekwondo,0,0,0,1,0
75,AIN,2024,Tennis,0,0,0,5,1
76,AIN,2024,Trampoline Gymnastics,0,0,1,1,1
77,AIN,2024,Weightlifting,0,1,0,1,0
78,AIN,2024,Wrestling,0,0,0,2,0
79,ALB,1972,Shooting,0,0,0,4,0
80,ALB,1972,Weightlifting,0,0,0,1,0
81,ALB,1992,Athletics,0,0,0,1,0
82,ALB,1992,Shooting,0,0,0,3,0
83,ALB,1992,Swimming,0,0,0,3,0
84,ALB,1992,Weightlifting,0,0,0,2,0
85,ALB,1996,Athletics,0,0,0,2,0
86,ALB,1996,Cycling,0,0,0,2,0
87,ALB,1996,Shooting,0,0,0,4,0
88,ALB,1996,Weightlifting,0,0,0,1,0
89,ALB,1996,Wrestling,0,0,0,2,0
90,ALB,2000,Athletics,0,0,0,2,0
91,ALB,2000,Shooting,0,0,0,4,0
92,ALB,2000,Weightlifting,0,0,0,1,0
93,ALB,2004,Athletics,0,0,0,2,0
94,ALB,2004,Swimming,0,0,0,2,0
95,ALB,2004,Weightlifting,0,0,0,2,0
96,ALB,2004,Wrestling,0,0,0,2,0
97,ALB,2008,Athletics,0,0,0,2,0
98,ALB,2008,Judo,0,0,0,1,0
99,ALB,2008,Shooting,0,0,0,4,0
100,ALB,2008,Swimming,0,0,0,2,0
101,ALB,2008,Weightlifting,0,0,0,3,0
102,ALB,2008,Wrestling,0,0,0,4,0
103,ALB,2012,Athletics,0,0,0,1,0
104,ALB,2012,Judo,0,0,0,1,0
105,ALB,2012,Shooting,0,0,0,4,0
106,ALB,2012,Swimming,0,0,0,2,0
107,ALB,2012,Weightlifting,0,0,0,3,0
108,ALB,2016,Athletics,0,0,0,2,0
109,ALB,2016,Swimming,0,0,0,2,0
110,ALB,2016,Weightlifting,0,0,0,2,0
111,ALB,2020,Artistic Gymnastics,0,0,0,1,0
112,ALB,2020,Athletics,0,0,0,2,0
113,ALB,2020,Judo,0,0,0,1,0
114,ALB,2020,Shooting,0,0,0,2,0
115,ALB,2020,Swimming,0,0,0,2,0
116,ALB,2020,Weightlifting,0,0,0,2,0
117,ALB,2024,Athletics,0,0,0,2,0
118,ALB,2024,Shooting,0,0,0,2,0
119,ALB,2024,Swimming,0,0,0,2,0
120,ALB,2024,Wrestling,0,2,0,1,0
121,ALG,1964,Gymnastics,0,0,0,7,0
122,ALG,1968,Boxing,0,0,0,2,0
123,ALG,1968,Gymnastics,0,0,0,7,0
124,ALG,1972,Athletics,0,0,0,4,0
125,ALG,1972,Boxing,0,0,0,1,0
126,ALG,1980,Athletics,0,0,0,7,0
127,ALG,1980,Boxing,0,0,0,2,0
128,ALG,1980,Fencing,0,0,0,2,0
129,ALG,1980,Football,0,0,0,1,0
130,ALG,1980,Handball,0,0,0,1,0
131,ALG,1980,Judo,0,0,0,3,0
132,ALG,1980,Swimming,0,0,0,7,0
133,ALG,1980,Weightlifting,0,0,0,3,0
134,ALG,1980,Wrestling,0,0,0,4,0
135,ALG,1984,Athletics,0,0,0,7,0
136,ALG,1984,Boxing,0,2,0,5,0
137,ALG,1984,Handball,0,0,0,1,0
138,ALG,1984,Weightlifting,0,0,0,2,0
139,ALG,1988,Athletics,0,0,0,13,0
140,ALG,1988,Boxing,0,0,0,6,0
141,ALG,1988,Cycling,0,0,0,2,0
142,ALG,1988,Handball,0,0,0,1,0
143,ALG,1988,Judo,0,0,0,5,0
144,ALG,1988,Tennis,0,0,0,1,0
145,ALG,1988,Weightlifting,0,0,0,2,0
146,ALG,1992,Athletics,0,0,1,8,0
147,ALG,1992,Boxing,0,1,0,7,0
148,ALG,1992,Judo,0,0,0,3,0
149,ALG,1992,Swimming,0,0,0,2,0
150,ALG,1992,Volleyball,0,0,0,1,0
151,ALG,1992,Weightlifting,0,0,0,2,0
152,ALG,1992,Wrestling,0,0,0,3,0
153,ALG,1996,Athletics,0,0,1,6,0
154,ALG,1996,Boxing,0,1,1,4,0
155,ALG,1996,Fencing,0,0,0,3,0
156,ALG,1996,Handball,0,0,0,1,0
157,ALG,1996,Judo,0,0,0,6,0
158,ALG,1996,Rowing,0,0,0,1,0
159,ALG,1996,Swimming,0,0,0,3,0
160,ALG,1996,Weightlifting,0,0,0,2,0
161,ALG,1996,Wrestling,0,0,0,4,0
162,ALG,2000,Athletics,0,2,1,13,1
163,ALG,2000,Boxing,0,1,0,6,0
164,ALG,2000,Fencing,0,0,0,3,0
165,ALG,2000,Judo,0,0,0,7,0
166,ALG,2000,Rowing,0,0,0,2,0
167,ALG,2000,Swimming,0,0,0,4,0
168,ALG,2000,Table Tennis,0,0,0,1,0
169,ALG,2000,Trampolining,0,0,0,1,0
170,ALG,2000,Weightlifting,0,0,0,1,0
171,ALG,2000,Wrestling,0,0,0,3,0
172,ALG,2004,Athletics,0,0,0,14,0
173,ALG,2004,Boxing,0,0,0,7,0
174,ALG,2004,Fencing,0,0,0,7,0
175,ALG,2004,Judo,0,0,0,11,0
176,ALG,2004,Rowing,0,0,0,1,0
177,ALG,2004,Swimming,0,0,0,10,0
178,ALG,2004,Table Tennis,0,0,0,4,0
179,ALG,2004,Tennis,0,0,0,1,0
180,ALG,2004,Weightlifting,0,0,0,2,0
181,ALG,2004,Wrestling,0,0,0,2,0
182,ALG,2008,Athletics,0,0,0,9,0
183,ALG,2008,Badminton,0,0,0,1,0
184,ALG,2008,Boxing,0,0,0,7,0
185,ALG,2008,Cycling,0,0,0,2,0
186,ALG,2008,Fencing,0,0,0,3,0
187,ALG,2008,Judo,0,1,0,8,1
188,ALG,2008,Rowing,0,0,0,2,0
189,ALG,2008,Swimming,0,0,0,6,0
190,ALG,2008,Table Tennis,0,0,0,1,0
191,ALG,2008,Volleyball,0,0,0,1,0
192,ALG,2008,Weightlifting,0,0,0,1,0
193,ALG,2008,Wrestling,0,0,0,4,0
194,ALG,2012,Athletics,0,0,1,6,0
195,ALG,2012,Boxing,0,0,0,8,0
196,ALG,2012,Cycling,0,0,0,2,0
197,ALG,2012,Fencing,0,0,0,3,0
198,ALG,2012,Judo,0,0,0,2,0
199,ALG,2012,Rowing,0,0,0,1,0
200,ALG,2012,Shooting,0,0,0,2,0
201,ALG,2012,Swimming,0,0,0,1,0
202,ALG,2012,Taekwondo,0,0,0,1,0
203,ALG,2012,Volleyball,0,0,0,1,0
204,ALG,2012,Weightlifting,0,0,0,1,0
205,ALG,2012,Wrestling,0,0,0,5,0
206,ALG,2016,Athletics,0,0,0,8,2
207,ALG,2016,Boxing,0,0,0,8,0
208,ALG,2016,Cycling,0,0,0,2,0
209,ALG,2016,Fencing,0,0,0,3,0
