,Rank,NOC,Gold,Silver,Bronze,Total,Year,Past_Gold,Past_Silver,Past_Bronze,Past_Total
0,1,USA,11,7,2,20,1896,,,,
1,2,GRE,10,18,19,47,1896,,,,
2,3,GER,6,5,2,13,1896,,,,
3,4,FRA,5,4,2,11,1896,,,,
4,5,GBR,2,3,2,7,1896,,,,
5,6,HUN,2,1,3,6,1896,,,,
6,7,AUT,2,1,2,5,1896,,,,
7,8,AUS,2,0,0,2,1896,,,,
8,9,DEN,1,2,3,6,1896,,,,
9,10,SUI,1,2,0,3,1896,,,,
10,1,FRA,27,39,37,103,1900,5.0,4.0,2.0,11.0
11,2,USA,19,14,15,48,1900,11.0,7.0,2.0,20.0
12,3,GBR,15,7,9,31,1900,2.0,3.0,2.0,7.0
13,5,BEL,6,7,4,17,1900,,,,
14,6,SUI,6,2,1,9,1900,1.0,2.0,0.0,3.0
15,7,GER,4,3,2,9,1900,6.0,5.0,2.0,13.0
16,8,ITA,3,2,0,5,1900,,,,
17,9,AUS,2,0,3,5,1900,2.0,0.0,0.0,2.0
18,10,DEN,1,3,2,6,1900,1.0,2.0,3.0,6.0
19,11,HUN,1,2,2,5,1900,2.0,1.0,3.0,6.0
20,12,CUB,1,1,0,2,1900,,,,
21,13,CAN,1,0,1,2,1900,,,,
22,14,ESP,1,0,0,1,1900,,,,
23,14,LUX,1,0,0,1,1900,,,,
24,16,AUT,0,3,3,6,1900,2.0,1.0,2.0,5.0
25,17,NED,0,2,3,5,1900,,,,
26,17,NOR,0,2,3,5,1900,,,,
27,19,IND,0,2,0,2,1900,,,,
28,20,BOH,0,1,1,2,1900,,,,
29,21,SWE,0,0,1,1,1900,,,,
30,1,USA,76,78,77,231,1904,19.0,14.0,15.0,48.0
31,2,GER,4,5,6,15,1904,4.0,3.0,2.0,9.0
32,3,CAN,4,1,1,6,1904,1.0,0.0,1.0,2.0
33,4,CUB,3,0,0,3,1904,1.0,1.0,0.0,2.0
34,5,HUN,2,1,1,4,1904,1.0,2.0,2.0,5.0
35,7,NOR,2,0,0,2,1904,0.0,2.0,3.0,5.0
36,8,AUT,1,1,1,3,1904,0.0,3.0,3.0,6.0
37,9,GBR,1,1,0,2,1904,15.0,7.0,9.0,31.0
38,10,SUI,1,0,2,3,1904,6.0,2.0,1.0,9.0
39,11,GRE,1,0,1,2,1904,10.0,18.0,19.0,47.0
40,12,AUS,0,3,1,4,1904,2.0,0.0,3.0,5.0
41,13,FRA,0,1,0,1,1904,27.0,39.0,37.0,103.0
42,1,GBR,56,51,39,146,1908,1.0,1.0,0.0,2.0
43,2,USA,23,12,12,47,1908,76.0,78.0,77.0,231.0
44,3,SWE,8,6,11,25,1908,0.0,0.0,1.0,1.0
45,4,FRA,5,5,9,19,1908,0.0,1.0,0.0,1.0
46,5,GER,3,5,5,13,1908,4.0,5.0,6.0,15.0
47,6,HUN,3,4,2,9,1908,2.0,1.0,1.0,4.0
48,7,CAN,3,3,10,16,1908,4.0,1.0,1.0,6.0
49,8,NOR,2,3,3,8,1908,2.0,0.0,0.0,2.0
50,9,ITA,2,2,0,4,1908,3.0,2.0,0.0,5.0
51,10,BEL,1,5,2,8,1908,6.0,7.0,4.0,17.0
52,11,ANZ,1,2,2,5,1908,,,,
53,12,RUS,1,2,0,3,1908,,,,
54,13,FIN,1,1,3,5,1908,,,,
55,14,RSA,1,1,0,2,1908,,,,
56,15,GRE,0,3,1,4,1908,1.0,0.0,1.0,2.0
57,16,DEN,0,2,3,5,1908,1.0,3.0,2.0,6.0
58,17,BOH,0,0,2,2,1908,0.0,1.0,1.0,2.0
59,17,NED,0,0,2,2,1908,0.0,2.0,3.0,5.0
60,19,AUT,0,0,1,1,1908,1.0,1.0,1.0,3.0
61,1,USA,26,19,19,64,1912,23.0,12.0,12.0,47.0
62,2,SWE,23,25,17,65,1912,8.0,6.0,11.0,25.0
63,3,GBR,10,15,16,41,1912,56.0,51.0,39.0,146.0
64,4,FIN,9,8,9,26,1912,1.0,1.0,3.0,5.0
65,5,FRA,7,4,3,14,1912,5.0,5.0,9.0,19.0
66,6,GER,5,13,7,25,1912,3.0,5.0,5.0,13.0
