,NOC,Gold,Silver,Bronze,Total,Year,Past_Gold,Past_Silver,Past_Bronze,Past_Total,Events_Count,Sports_Count,isHoster
0,USA,11,7,2,20,1896,nan,nan,nan,nan,27.0,27.0,0.0
1,GRE,10,18,19,47,1896,nan,nan,nan,nan,148.0,148.0,0.0
2,GER,6,5,2,13,1896,nan,nan,nan,nan,94.0,94.0,0.0
3,FRA,5,4,2,11,1896,nan,nan,nan,nan,26.0,26.0,0.0
4,GBR,2,3,2,7,1896,nan,nan,nan,nan,25.0,25.0,0.0
5,HUN,2,1,3,6,1896,nan,nan,nan,nan,18.0,18.0,0.0
6,AUT,2,1,2,5,1896,nan,nan,nan,nan,8.0,8.0,0.0
7,AUS,2,0,0,2,1896,nan,nan,nan,nan,5.0,5.0,0.0
8,DEN,1,2,3,6,1896,nan,nan,nan,nan,15.0,15.0,0.0
9,SUI,1,2,0,3,1896,nan,nan,nan,nan,8.0,8.0,0.0
10,FRA,27,39,37,103,1900,5.0,4.0,2.0,11.0,1071.0,1071.0,0.0
11,USA,19,14,15,48,1900,11.0,7.0,2.0,20.0,135.0,135.0,0.0
12,GBR,15,7,9,31,1900,2.0,3.0,2.0,7.0,146.0,146.0,0.0
13,BEL,6,7,4,17,1900,nan,nan,nan,nan,100.0,100.0,0.0
14,SUI,6,2,1,9,1900,1.0,2.0,0.0,3.0,52.0,52.0,0.0
15,GER,4,3,2,9,1900,6.0,5.0,2.0,13.0,103.0,103.0,0.0
16,ITA,3,2,0,5,1900,nan,nan,nan,nan,36.0,36.0,0.0
17,AUS,2,0,3,5,1900,2.0,0.0,0.0,2.0,6.0,6.0,0.0
18,DEN,1,3,2,6,1900,1.0,2.0,3.0,6.0,36.0,36.0,0.0
19,HUN,1,2,2,5,1900,2.0,1.0,3.0,6.0,34.0,34.0,0.0
20,CUB,1,1,0,2,1900,nan,nan,nan,nan,2.0,2.0,0.0
21,CAN,1,0,1,2,1900,nan,nan,nan,nan,7.0,7.0,0.0
22,ESP,1,0,0,1,1900,nan,nan,nan,nan,12.0,12.0,0.0
23,LUX,1,0,0,1,1900,nan,nan,nan,nan,1.0,1.0,0.0
24,AUT,0,3,3,6,1900,2.0,1.0,2.0,5.0,26.0,26.0,0.0
25,NED,0,2,3,5,1900,nan,nan,nan,nan,73.0,73.0,0.0
26,NOR,0,2,3,5,1900,nan,nan,nan,nan,29.0,29.0,0.0
27,IND,0,2,0,2,1900,nan,nan,nan,nan,5.0,5.0,0.0
28,BOH,0,1,1,2,1900,nan,nan,nan,nan,9.0,9.0,0.0
29,SWE,0,0,1,1,1900,nan,nan,nan,nan,27.0,27.0,0.0
30,USA,76,78,77,231,1904,19.0,14.0,15.0,48.0,1109.0,1109.0,0.0
31,GER,4,5,6,15,1904,4.0,3.0,2.0,9.0,55.0,55.0,0.0
32,CAN,4,1,1,6,1904,1.0,0.0,1.0,2.0,61.0,61.0,0.0
33,CUB,3,0,0,3,1904,1.0,1.0,0.0,2.0,6.0,6.0,0.0
34,HUN,2,1,1,4,1904,1.0,2.0,2.0,5.0,9.0,9.0,0.0
35,NOR,2,0,0,2,1904,0.0,2.0,3.0,5.0,6.0,6.0,0.0
36,AUT,1,1,1,3,1904,0.0,3.0,3.0,6.0,7.0,7.0,0.0
37,GBR,1,1,0,2,1904,15.0,7.0,9.0,31.0,6.0,6.0,0.0
38,SUI,1,0,2,3,1904,6.0,2.0,1.0,9.0,7.0,7.0,0.0
39,GRE,1,0,1,2,1904,10.0,18.0,19.0,47.0,17.0,17.0,0.0
40,AUS,0,3,1,4,1904,2.0,0.0,3.0,5.0,6.0,6.0,0.0
41,FRA,0,1,0,1,1904,27.0,39.0,37.0,103.0,2.0,2.0,0.0
42,GBR,56,51,39,146,1908,1.0,1.0,0.0,2.0,972.0,972.0,0.0
43,USA,23,12,12,47,1908,76.0,78.0,77.0,231.0,219.0,219.0,0.0
44,SWE,8,6,11,25,1908,0.0,0.0,1.0,1.0,276.0,276.0,0.0
45,FRA,5,5,9,19,1908,0.0,1.0,0.0,1.0,319.0,319.0,0.0
46,GER,3,5,5,13,1908,4.0,5.0,6.0,15.0,148.0,148.0,0.0
47,HUN,3,4,2,9,1908,2.0,1.0,1.0,4.0,107.0,107.0,0.0
48,CAN,3,3,10,16,1908,4.0,1.0,1.0,6.0,148.0,148.0,0.0
49,NOR,2,3,3,8,1908,2.0,0.0,0.0,2.0,103.0,103.0,0.0
50,ITA,2,2,0,4,1908,3.0,2.0,0.0,5.0,97.0,97.0,0.0
51,BEL,1,5,2,8,1908,6.0,7.0,4.0,17.0,99.0,99.0,0.0
52,ANZ,1,2,2,5,1908,nan,nan,nan,nan,48.0,48.0,0.0
53,RUS,1,2,0,3,1908,nan,nan,nan,nan,7.0,7.0,0.0
54,FIN,1,1,3,5,1908,nan,nan,nan,nan,94.0,94.0,0.0
55,RSA,1,1,0,2,1908,nan,nan,nan,nan,33.0,33.0,0.0
56,GRE,0,3,1,4,1908,1.0,0.0,1.0,2.0,49.0,49.0,0.0
57,DEN,0,2,3,5,1908,1.0,3.0,2.0,6.0,107.0,107.0,0.0
58,BOH,0,0,2,2,1908,0.0,1.0,1.0,2.0,41.0,41.0,0.0
59,NED,0,0,2,2,1908,0.0,2.0,3.0,5.0,218.0,218.0,0.0
60,AUT,0,0,1,1,1908,1.0,1.0,1.0,3.0,13.0,13.0,0.0
61,USA,26,19,19,64,1912,23.0,12.0,12.0,47.0,364.0,364.0,0.0
62,SWE,23,25,17,65,1912,8.0,6.0,11.0,25.0,714.0,714.0,0.0
63,GBR,10,15,16,41,1912,56.0,51.0,39.0,146.0,461.0,461.0,0.0
64,FIN,9,8,9,26,1912,1.0,1.0,3.0,5.0,233.0,233.0,0.0
65,FRA,7,4,3,14,1912,5.0,5.0,9.0,19.0,232.0,232.0,0.0
66,GER,5,13,7,25,1912,3.0,5.0,5.0,13.0,312.0,312.0,0.0
67,RSA,4,2,0,6,1912,1.0,1.0,0.0,2.0,56.0,56.0,0.0
68,NOR,3,2,5,10,1912,2.0,3.0,3.0,8.0,263.0,263.0,0.0
69,CAN,3,2,3,8,1912,3.0,3.0,10.0,16.0,60.0,60.0,0.0
70,HUN,3,2,3,8,1912,3.0,4.0,2.0,9.0,207.0,207.0,0.0
71,ITA,3,1,2,6,1912,2.0,2.0,0.0,4.0,96.0,96.0,0.0
72,ANZ,2,2,3,7,1912,1.0,2.0,2.0,5.0,38.0,38.0,0.0
73,BEL,2,1,3,6,1912,1.0,5.0,2.0,8.0,72.0,72.0,0.0
74,DEN,1,6,5,12,1912,0.0,2.0,3.0,5.0,233.0,233.0,0.0
75,GRE,1,0,1,2,1912,0.0,3.0,1.0,4.0,77.0,77.0,0.0
76,RUS,0,2,3,5,1912,1.0,2.0,0.0,3.0,266.0,266.0,0.0
77,AUT,0,2,2,4,1912,0.0,0.0,1.0,1.0,132.0,132.0,0.0
78,NED,0,0,3,3,1912,0.0,0.0,2.0,2.0,45.0,45.0,0.0
79,USA,41,27,27,95,1920,26.0,19.0,19.0,64.0,473.0,473.0,0.0
80,SWE,19,20,25,64,1920,23.0,25.0,17.0,65.0,404.0,404.0,0.0
81,FIN,15,10,9,34,1920,9.0,8.0,9.0,26.0,136.0,136.0,0.0
82,GBR,14,15,13,42,1920,10.0,15.0,16.0,41.0,345.0,345.0,0.0
83,BEL,14,11,11,36,1920,2.0,1.0,3.0,6.0,518.0,518.0,0.0
84,NOR,13,9,9,31,1920,3.0,2.0,5.0,10.0,267.0,267.0,0.0
85,ITA,13,5,5,23,1920,3.0,1.0,2.0,6.0,291.0,291.0,0.0
86,FRA,9,19,13,41,1920,7.0,4.0,3.0,14.0,452.0,452.0,0.0
87,NED,4,2,5,11,1920,0.0,0.0,3.0,3.0,213.0,213.0,0.0
88,DEN,3,9,1,13,1920,1.0,6.0,5.0,12.0,246.0,246.0,0.0
89,RSA,3,4,3,10,1920,4.0,2.0,0.0,6.0,97.0,97.0,0.0
90,CAN,3,3,3,9,1920,3.0,2.0,3.0,8.0,85.0,85.0,0.0
91,SUI,2,2,7,11,1920,1.0,0.0,2.0,3.0,126.0,126.0,0.0
92,EST,1,2,0,3,1920,nan,nan,nan,nan,20.0,20.0,0.0
93,BRA,1,1,1,3,1920,nan,nan,nan,nan,38.0,38.0,0.0
94,AUS,0,2,1,3,1920,0.0,3.0,1.0,4.0,29.0,29.0,0.0
95,ESP,0,2,0,2,1920,1.0,0.0,0.0,1.0,111.0,111.0,0.0
96,JPN,0,2,0,2,1920,nan,nan,nan,nan,26.0,26.0,0.0
