,NOC,Gold,Silver,Bronze,Total,Year,Past_Gold,Past_Silver,Past_Bronze,Past_Total,Events_Count,Sports_Count,isHoster,Country_Type,Ath_Score,Good_Ath_Ratio
0,AFG,0.0,0.0,0.0,0.0,1936,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0,,
1,AFG,0.0,0.0,0.0,0.0,1948,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0,0.761125594896259,1.0
2,AFG,0.0,0.0,0.0,0.0,1956,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0,2.061385992694447,1.0
3,AFG,0.0,0.0,0.0,0.0,1960,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0,1.2364773699896172,1.0
4,AFG,0.0,0.0,0.0,0.0,1964,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0,2.0404348589836867,1.0
5,AFG,0.0,0.0,0.0,0.0,1968,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0,1.237189188376303,1.0
6,AFG,0.0,0.0,0.0,0.0,1972,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0,0.9269231311724383,1.0
7,AFG,0.0,0.0,0.0,0.0,1980,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0,1.4516106380944673,1.0
8,AFG,0.0,0.0,0.0,0.0,1988,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0,1.3710526524033924,1.0
9,AFG,0.0,0.0,0.0,0.0,1996,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0,0.7369059521727519,1.0
10,AFG,0.0,0.0,0.0,0.0,2004,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0,0.3441538224678746,1.0
11,AFG,0.0,0.0,1.0,1.0,2008,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0,1.7321890272378404,0.8
12,AFG,0.0,0.0,1.0,1.0,2012,0.0,0.0,1.0,1.0,6.0,6.0,0.0,0,3.902306773428628,0.5
13,AFG,0.0,0.0,0.0,0.0,2016,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0,4.145133739347981,0.6666666666666666
14,AFG,0.0,0.0,0.0,0.0,2020,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0,0.7157153962528209,1.0
15,AFG,0.0,0.0,0.0,0.0,2024,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0,2.434692448333596,0.5
16,AHO,0.0,0.0,0.0,0.0,1952,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0,,
17,AHO,0.0,0.0,0.0,0.0,1960,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0,0.7024217954954288,1.0
18,AHO,0.0,0.0,0.0,0.0,1964,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0,1.6059530869753493,1.0
19,AHO,0.0,0.0,0.0,0.0,1968,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0,0.8437411513367346,1.0
20,AHO,0.0,0.0,0.0,0.0,1972,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0,0.8600738098064757,1.0
21,AHO,0.0,0.0,0.0,0.0,1976,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0,0.2966435897127863,1.0
22,AHO,0.0,0.0,0.0,0.0,1984,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0,0.4564791607124836,1.0
23,AHO,0.0,1.0,0.0,1.0,1988,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0,8.925434502886258,0.5882352941176471
24,AHO,0.0,0.0,0.0,0.0,1992,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0,2.4301326542074446,0.25
25,AHO,0.0,0.0,0.0,0.0,1996,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0,1.4720424165430033,0.75
26,AHO,0.0,0.0,0.0,0.0,2000,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0,3.074448914085719,0.5714285714285714
27,AHO,0.0,0.0,0.0,0.0,2004,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0,4.949059657643185,0.4
28,AHO,0.0,0.0,0.0,0.0,2008,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0,6.336234295154812,0.2
29,AIN,0.0,0.0,0.0,0.0,2024,0.0,0.0,0.0,0.0,46.0,46.0,0.0,0,,
30,ALB,0.0,0.0,0.0,0.0,1972,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0,,
31,ALB,0.0,0.0,0.0,0.0,1992,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0,0.52101136466738,1.0
32,ALB,0.0,0.0,0.0,0.0,1996,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0,3.8814714396081076,0.5
33,ALB,0.0,0.0,0.0,0.0,2000,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0,8.678576091657973,0.4166666666666667
34,ALB,0.0,0.0,0.0,0.0,2004,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0,2.8881115360838336,0.4
35,ALB,0.0,0.0,0.0,0.0,2008,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0,3.2069451281926504,0.875
36,ALB,0.0,0.0,0.0,0.0,2012,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0,6.3651826260186635,0.7142857142857143
37,ALB,0.0,0.0,0.0,0.0,2016,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0,7.830622906341789,0.5454545454545454
38,ALB,0.0,0.0,0.0,0.0,2020,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0,3.6580088906724164,0.16666666666666666
39,ALB,0.0,0.0,2.0,2.0,2024,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0,4.977984280657298,0.3
40,ALG,0.0,0.0,0.0,0.0,1964,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0,,
41,ALG,0.0,0.0,0.0,0.0,1968,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0,18.42310718081018,0.0
42,ALG,0.0,0.0,0.0,0.0,1972,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0,6.374307687660103,0.2222222222222222
43,ALG,0.0,0.0,0.0,0.0,1980,0.0,0.0,0.0,0.0,63.0,63.0,0.0,0,1.5697231272597365,1.0
44,ALG,0.0,0.0,2.0,2.0,1984,0.0,0.0,0.0,0.0,33.0,33.0,0.0,0,13.223332592273197,0.9375
45,ALG,0.0,0.0,0.0,0.0,1988,0.0,0.0,0.0,0.0,45.0,45.0,0.0,0,8.662667444083883,0.9411764705882353
46,ALG,1.0,0.0,1.0,2.0,1992,0.0,0.0,2.0,2.0,36.0,36.0,0.0,0,17.402333238810332,0.8888888888888888
47,ALG,2.0,0.0,1.0,3.0,1996,1.0,0.0,1.0,2.0,47.0,47.0,0.0,0,17.953749131482546,0.8333333333333334
48,ALG,1.0,1.0,3.0,5.0,2000,2.0,0.0,1.0,3.0,51.0,51.0,0.0,0,31.29922633910444,0.7083333333333334
49,ALG,0.0,0.0,0.0,0.0,2004,0.0,0.0,0.0,0.0,71.0,71.0,0.0,0,32.634289240703275,0.6470588235294118
50,ALG,0.0,1.0,1.0,2.0,2008,1.0,1.0,3.0,5.0,57.0,57.0,0.0,0,41.272561224812925,0.676056338028169
51,ALG,1.0,0.0,0.0,1.0,2012,0.0,1.0,1.0,2.0,39.0,39.0,0.0,0,29.9931649207399,0.7192982456140351
52,ALG,0.0,2.0,0.0,2.0,2016,1.0,0.0,0.0,1.0,74.0,74.0,0.0,0,35.17415795980316,0.6410256410256411
53,ALG,0.0,0.0,0.0,0.0,2020,0.0,0.0,0.0,0.0,45.0,45.0,0.0,0,57.82689200625973,0.5866666666666667
54,ALG,2.0,0.0,1.0,3.0,2024,0.0,2.0,0.0,2.0,55.0,55.0,0.0,0,25.214956955691612,0.4222222222222222
55,AND,0.0,0.0,0.0,0.0,1976,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0,,
56,AND,0.0,0.0,0.0,0.0,1980,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0,1.1865334666432215,0.6666666666666666
57,AND,0.0,0.0,0.0,0.0,1984,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0,1.2330520894839927,0.5
58,AND,0.0,0.0,0.0,0.0,1988,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0,1.2330520894839927,0.5
59,AND,0.0,0.0,0.0,0.0,1992,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0,1.2697521432536685,1.0
60,AND,0.0,0.0,0.0,0.0,1996,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0,2.1759137061306486,1.0
61,AND,0.0,0.0,0.0,0.0,2000,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0,3.154295731086396,0.875
62,AND,0.0,0.0,0.0,0.0,2004,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0,3.1360234024013103,0.6
63,AND,0.0,0.0,0.0,0.0,2008,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0,2.9157044181324627,0.6666666666666666
64,AND,0.0,0.0,0.0,0.0,2012,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0,2.8007147236754784,0.6
65,AND,0.0,0.0,0.0,0.0,2016,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0,3.7859862047768167,0.5
66,AND,0.0,0.0,0.0,0.0,2020,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0,0.9542871950037612,1.0
67,AND,0.0,0.0,0.0,0.0,2024,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0,3.426209167270915,0.3333333333333333
68,ANG,0.0,0.0,0.0,0.0,1980,0.0,0.0,0.0,0.0,17.0,17.0,0.0,0,,
69,ANG,0.0,0.0,0.0,0.0,1988,0.0,0.0,0.0,0.0,33.0,33.0,0.0,0,9.497612641276415,0.6666666666666666
70,ANG,0.0,0.0,0.0,0.0,1992,0.0,0.0,0.0,0.0,33.0,33.0,0.0,0,20.108840075168843,0.6486486486486487
71,ANG,0.0,0.0,0.0,0.0,1996,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0,22.321859897473487,0.6590909090909091
72,ANG,0.0,0.0,0.0,0.0,2000,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0,15.95595511338574,0.5757575757575758
73,ANG,0.0,0.0,0.0,0.0,2004,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0,20.913099208904878,0.48717948717948717
74,ANG,0.0,0.0,0.0,0.0,2008,0.0,0.0,0.0,0.0,33.0,33.0,0.0,0,18.421129462935614,0.48484848484848486
75,ANG,0.0,0.0,0.0,0.0,2012,0.0,0.0,0.0,0.0,35.0,35.0,0.0,0,19.2099798390539,0.5833333333333334
76,ANG,0.0,0.0,0.0,0.0,2016,0.0,0.0,0.0,0.0,26.0,26.0,0.0,0,17.742754960221962,0.6153846153846154
77,ANG,0.0,0.0,0.0,0.0,2020,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0,18.707293443890983,0.40625
78,ANG,0.0,0.0,0.0,0.0,2024,0.0,0.0,0.0,0.0,26.0,26.0,0.0,0,11.675504724602504,0.35
79,ANT,0.0,0.0,0.0,0.0,1976,0.0,0.0,0.0,0.0,17.0,17.0,0.0,0,,
80,ANT,0.0,0.0,0.0,0.0,1984,0.0,0.0,0.0,0.0,27.0,27.0,0.0,0,3.7141371229241518,1.0
